sub_corpus	tier	path	accepted	entries	committed	memo_hits	lr_entries	lr_committed
Cores-VeeR-EL2	breadth	stimuli/sv/subs/Cores-VeeR-EL2/design/dbg/el2_dbg.sv	no	697	27	231	0	0
Cores-VeeR-EL2	breadth	stimuli/sv/subs/Cores-VeeR-EL2/design/el2_dma_ctrl.sv	no	693	25	231	0	0
Cores-VeeR-EL2	breadth	stimuli/sv/subs/Cores-VeeR-EL2/design/ifu/el2_ifu_aln_ctl.sv	no	689	23	231	0	0
Cores-VeeR-EL2	breadth	stimuli/sv/subs/Cores-VeeR-EL2/design/lib/axi4_to_ahb.sv	no	695	26	231	0	0
Cores-VeeR-EL2	breadth	stimuli/sv/subs/Cores-VeeR-EL2/design/lsu/el2_lsu_dccm_mem.sv	no	705	31	231	0	0
Cores-VeeR-EL2	lr	stimuli/sv/subs/Cores-VeeR-EL2/testbench/axi4_mux/axi_crossbar_wr.v	yes	1585007	372931	826724	63420	0
Cores-VeeR-EL2	breadth	stimuli/sv/subs/Cores-VeeR-EL2/testbench/axi4_mux/axi_crossbar_wrap_2x1.v	yes	482627	30644	223181	15865	0
Cores-VeeR-EL2	breadth	stimuli/sv/subs/Cores-VeeR-EL2/testbench/uvm/mem/hdl/dccm_driver.sv	no	464	6	162	0	0
Cores-VeeR-EL2	breadth	stimuli/sv/subs/Cores-VeeR-EL2/tools/riscv-dv/veer_directed_instr_lib.sv	no	488	18	162	0	0
Surelog	breadth	stimuli/sv/subs/Surelog/tests/1364_2005/dut.v	no	4711	7	1887	88	0
Surelog	hot	stimuli/sv/subs/Surelog/tests/BlackBePipeInt/dut.sv	yes	10765326	1195450	4959001	360380	412
Surelog	lr	stimuli/sv/subs/Surelog/tests/BlackParrotConf/dut.sv	no	874907	43621	369756	28485	0
Surelog	breadth	stimuli/sv/subs/Surelog/tests/ClassScope/dut.sv	no	35898	2503	15096	759	0
Surelog	lr	stimuli/sv/subs/Surelog/tests/DecimalSize/dut.sv	yes	1254617	188079	591255	41096	0
Surelog	breadth	stimuli/sv/subs/Surelog/tests/ExpectStmt/dut.sv	yes	10210	565	4432	240	14
Surelog	breadth	stimuli/sv/subs/Surelog/tests/HierPathCont/dut.sv	yes	13792	622	5654	274	0
Surelog	breadth	stimuli/sv/subs/Surelog/tests/LongHex/dut.sv	yes	14382	1058	6180	294	0
Surelog	breadth	stimuli/sv/subs/Surelog/tests/PackageValue/top.sv	yes	61822	3558	28236	1779	0
Surelog	breadth	stimuli/sv/subs/Surelog/tests/SelectHierPath/dut.sv	yes	7054	703	2877	76	0
Surelog	breadth	stimuli/sv/subs/Surelog/tests/TestSepCompNoHash/pkg1.sv	yes	1590	52	566	0	0
black-parrot	breadth	stimuli/sv/subs/black-parrot/bp_be/src/include/bp_be_ctl_pkgdef.svh	yes	111992	5486	46180	3616	0
black-parrot	breadth	stimuli/sv/subs/black-parrot/bp_be/src/v/bp_be_checker/bp_be_instr_decoder.sv	no	1762	11	665	0	0
black-parrot	breadth	stimuli/sv/subs/black-parrot/bp_common/src/include/bp_common_cache_engine_pkgdef.svh	yes	27667	1004	11498	946	0
black-parrot	breadth	stimuli/sv/subs/black-parrot/bp_common/test/common/bp_common_test_pkg.sv	no	1091	8	397	0	0
black-parrot	breadth	stimuli/sv/subs/black-parrot/bp_me/src/v/cce/bp_cce.sv	no	1762	11	665	0	0
