rule	entries	committed	memo_hits
action_block	3	2	1
always_construct	73566	112	0
always_keyword	73566	112	0
always_keyword_sv_only	73566	26	1574
and_assign	15361	0	0
anonymous_program	7817	1	0
anonymous_program_item	1	0	0
anonymous_program_item_sv_2017	1	0	0
ansi_port_declaration	1565	699	0
ansi_port_header	1565	697	0
arithmetic_shift_left	472256	0	0
arithmetic_shift_left_assign	15361	0	0
arithmetic_shift_right	472256	2	0
arithmetic_shift_right_assign	15361	0	0
array_manipulation_call	21933	19042	0
array_method_name	21933	19042	0
array_pattern_key	2805	2750	16
assert_property_statement	98514	0	0
assertion_item	73566	0	1412
assertion_item_declaration	81187	0	1378
assign	256333	21760	107984
assignment_operator	17381	6265	2020
assignment_pattern	577058	97	10
assignment_pattern_entry	3	0	0
assignment_pattern_expression	2519775	97	1942717
assignment_pattern_expression_type	1192490	1	485705
assignment_pattern_key	5594	5500	2789
assignment_pattern_net_lvalue	24847	0	123
assignment_pattern_variable_lvalue	590585	0	109447
associative_dimension	99312	1	8
assume_property_statement	98514	0	0
at_sign	161823	90	0
attr_close	2	2	0
attr_name	2	2	0
attr_open	649314	2	0
attr_spec	2	2	0
attribute_instance	2496150	2	1847007
bang	530718	726	0
base_class_type	14	0	0
base_class_type_head	14	0	0
binary_operator	725239	38867	252983
bind_directive	73462	0	865
bit_select	243755	133852	6240
bit_select_expression	53334	47959	0
bitwise_and	1002974	2480	0
bitwise_or	1002974	1519	0
bitwise_xor	1002974	3851	0
block_comment	2351223	275	0
block_data_declaration	32993	2342	0
block_data_declaration_sv_2017	32993	2342	0
block_data_type	32993	149	0
block_data_type_or_implicit	32993	2342	0
block_identifier	176568	16	0
block_item_declaration	33921	2342	928
blocking_assignment	32377	6217	0
blocking_assignment_sv_2017	32377	6217	2567
boolean_abbrev	1345	0	1
boolean_abbrev_sv_2017	1344	0	0
built_in_method_call	21933	19042	0
c_identifier	66	0	0
call_primary	813801	20429	150691
call_with_postfix_chain	663110	0	0
callable_identifier	675414	12490	0
callable_method_call_body	36554	19042	14621
case_equal	472256	359	0
case_expression	929	204	0
case_generate_construct	72003	0	11
case_inside_item	2	0	0
case_inside_item_sv_2017	2	0	0
case_item	8342	2433	116
case_item_expression	8552	2609	0
case_keyword	53266	204	26744
case_not_equal	472256	1516	0
case_pattern_item	12	0	0
case_statement	32377	204	5744
cast	1253578	29	564315
casting_type_lr_base	938175	125	248912
casting_type_lr_guard0	248912	96	0
casting_type_lr_guard0_suffix	235807	0	0
casting_type_lr_guard1	689263	29	0
casting_type_lr_guard1_suffix	591887	0	112157
casting_type_lr_seed_call_primary	689263	0	0
casting_type_lr_seed_call_with_postfix_chain	689263	0	0
casting_type_lr_seed_chainable_call_initial	689263	0	0
casting_type_lr_seed_constant_function_call	689263	0	0
casting_type_lr_seed_constant_primary	689263	125	0
casting_type_lr_seed_constant_primary_sv_2017	689263	125	0
casting_type_lr_seed_direct_callable_method_call	1378526	0	689371
casting_type_lr_seed_method_call_receiver	689155	0	0
casting_type_lr_seed_method_call_receiver_sv_2017	689155	0	0
casting_type_lr_seed_method_call_root	689155	0	0
casting_type_lr_suffix	715537	0	235807
casting_type_lr_suffix_r0	479730	0	0
casting_type_lr_suffix_r2	479730	0	64
casting_type_lr_suffix_r4	479730	0	64
chainable_call_initial	663110	0	0
charge_strength	383	0	102
checked_nettype_identifier	81827	0	189
checked_type_identifier	219948	533	11607
checker_declaration	81187	0	1378
checker_generate_item	709	13	41
checker_generate_item_sv_2017	668	13	0
checker_identifier	99055	0	0
checker_instantiation	101964	0	0
checker_or_generate_item	993	160	284
checker_or_generate_item_declaration	709	28	6
class_constraint	43	3	2
class_constructor_declaration	80528	3	677
class_constructor_declaration_sv_2017	79851	3	0
class_constructor_prototype	3	0	0
class_constructor_prototype_sv_2017	3	0	0
class_declaration	80528	10	676
class_declaration_sv_2017	79852	10	0
class_identifier	2891178	1566	0
class_item	44	25	1
class_item_qualifier	195	1	141
class_item_sv_2017	43	25	0
class_method	43	8	0
class_new	8783	5	2391
class_or_package_scope	29810	0	0
class_property	43	11	2
class_scope	4408514	9	3575774
class_scope_type	832740	9	0
class_scope_type_head	832740	9	0
class_scoped_call_prefix	772283	0	83144
class_scoped_call_prefix_head	689139	0	0
class_scoped_tf_call	113445	0	30301
class_scoped_tf_call_with_args	2787890	0	2098751
class_type	187642	1486	686
class_type_head	186956	1486	0
class_variable_identifier	114746	6203	0
clocking_declaration	73370	0	1378
clocking_drive	32377	474	5855
clocking_event	1362	2	3
clocking_event_sv_2017	1359	2	0
clockvar	26522	474	0
clockvar_expression	26522	474	0
cmos_switchtype	71988	0	0
colon	350952	37260	126991
combinational_body	2	2	0
combinational_entry	7	5	0
comma	622349	89201	283162
compiler_directive	605	189	0
concatenation	1948509	6213	1367475
concurrent_assertion_item	72154	0	0
concurrent_assertion_statement	101964	0	3450
cond_pattern	381098	0	644
cond_predicate	381380	6767	282
conditional_else_branch	456	328	0
conditional_else_clause	1901	328	513
conditional_expression	485508	5245	106031
conditional_generate_construct	73525	2	1522
conditional_statement	32833	1522	5515
config_declaration	605	0	0
consecutive_repetition	2441	0	250
constant_assignment_pattern_expression	942333	86	365291
constant_bit_select	1202020	66925	894140
constant_cast	253070	96	4158
constant_concatenation	946232	534	365356
constant_expression	636729	66251	434934
constant_expression_operand	242123	75441	1696
constant_function_call	253070	313	81
constant_indexed_range	53550	108	1
constant_let_expression	942333	77	365291
constant_mintypmax_expression	71658	9848	27331
constant_multiple_concatenation	942333	49	365210
constant_param_expression	9980	8789	0
constant_part_select_range	111433	2070	57883
constant_primary	253070	75443	0
constant_primary_sv_2017	253070	75443	0
constant_range	147607	20684	53685
constant_range_expression	82414	701	30656
constant_select	801733	28898	526017
constant_select_tail	275716	28898	0
constraint_block	3	3	0
constraint_block_item	8	5	0
constraint_declaration	41	2	0
constraint_declaration_sv_2017	41	2	0
constraint_expression	8	5	0
constraint_identifier	6	4	0
constraint_prototype	41	1	0
constraint_prototype_qualifier	41	1	0
constraint_prototype_sv_2017	41	1	0
context_member_method_call	1352373	37	775331
continuous_assign	73566	1731	1454
cover_property_statement	98514	0	0
cover_sequence_statement	98514	0	0
covergroup_declaration	81231	0	1380
covergroup_declaration_sv_2017	79851	0	0
covergroup_identifier	225373	1481	0
current_state	2	0	0
cycle_delay	27157	0	59
cycle_delay_range	2703	2	3
data_declaration	81228	2101	1156
data_declaration_sv_2017	80072	2101	0
data_type	191454	12447	4433
data_type_or_implicit	91068	11052	0
data_type_or_void	3430	2213	312
data_type_or_void_sv_only	3118	48	22
declaration_identifier	9763258	139801	0
declared_class_alias_identifier	1	0	0
declared_class_identifier	26	10	1
declared_forward_class_identifier	9	9	0
declared_interface_class_identifier	7	7	3
declared_package_identifier	32	30	0
declared_parameter_identifier	35128	17731	20143
declared_type_identifier	1230	561	0
declared_type_parameter_identifier	40	20	27
deferred_immediate_assert_statement	98514	0	0
deferred_immediate_assertion_item	72154	0	162
deferred_immediate_assertion_statement	98514	0	0
