=== band_sub1us total=11875
typed_arena::ArenaT::alloc_extend                                                8.6%    8.7%
pgen::generated_parsers::regex::RegexParser::cascade_match_piece                 8.0%   35.0%
pgen::generated_parsers::regex::RegexParser::cascade_match_atom::::{closure}     6.7%   19.6%
_platform_memmove                                                                5.3%    5.3%
pgen::generated_parsers::regex::RegexParser::memoized_call                       5.2%   60.6%
regex_perf_probe::parse_once_timed                                               4.2%   97.3%
hashbrown::map::HashMapKVSA::insert                                              3.8%    4.4%
mi_free                                                                          3.3%    5.5%
mach_absolute_time                                                               3.1%    3.1%
pgen::generated_parsers::regex::RegexParser::cascade_match_entry_concatenation   3.0%   38.9%
_platform_memset                                                                 2.9%    2.9%
mi_malloc_aligned                                                                2.9%    3.9%
_mi_malloc_generic                                                               2.6%    5.5%
pgen::ast_pipeline::ParseContent::to_shaped_value                                2.3%    2.5%
OUTLINED_FUNCTION_41                                                             1.7%    1.7%
mi_bin                                                                           1.6%    1.6%
mi_theap_malloc_zero_aligned_at_overalloc                                        1.5%    6.5%
mi_theap_malloc_zero_aligned_at_generic                                          1.5%    2.5%
alloc::raw_vec::RawVecInnerA::finish_grow                                        1.3%    2.9%
pgen::generated_parsers::regex::RegexParser::cascade_build_piece                 1.3%    7.6%
pgen::ast_pipeline::semantic_runtime::SemanticRuntimeState::new                  1.1%    2.8%
core::ptr::drop_in_placestd..collections..hash..map..HashMapu16usizepgen..ast_   1.1%    1.1%
pgen::generated_parsers::regex::RegexParser::cascade_match_escape_unit           1.0%    1.5%
pgen::generated_parsers::regex::RegexParser::cascade_match_class_atom            1.0%    1.7%
core::ptr::drop_in_placepgen..generated_parsers..regex..RegexParser              0.9%    5.4%
_mi_page_retire                                                                  0.8%    1.3%
core::ptr::drop_in_placepgen..ast_pipeline..NodeArena                            0.8%    1.0%
pgen::ast_pipeline::semantic_runtime::CompiledSemanticRuntimeAnnotations::clon   0.8%    0.8%

=== band_1to2p5 total=11805
pgen::generated_parsers::regex::RegexParser::cascade_match_piece                 7.1%   73.3%
pgen::generated_parsers::regex::RegexParser::cascade_match_atom::::{closure}     7.0%   58.3%
typed_arena::ArenaT::alloc_extend                                                6.7%    7.3%
_platform_memmove                                                                6.5%    6.5%
hashbrown::map::HashMapKVSA::insert                                              3.8%    4.3%
mi_free                                                                          3.3%    5.7%
pgen::generated_parsers::regex::RegexParser::parse_pattern                       3.0%   24.0%
mi_malloc_aligned                                                                2.7%    4.2%
pgen::ast_pipeline::ParseContent::to_shaped_value                                2.6%    7.2%
pgen::generated_parsers::regex::RegexParser::memoized_call                       2.5%   84.4%
alloc::raw_vec::RawVecInnerA::finish_grow                                        1.9%    4.5%
_mi_malloc_generic                                                               1.8%    3.1%
pgen::generated_parsers::regex::RegexParser::cascade_match_alternative           1.8%   15.8%
OUTLINED_FUNCTION_41                                                             1.8%    1.8%
pgen::generated_parsers::regex::RegexParser::cascade_build_alternative           1.8%    5.8%
regex_perf_probe::parse_once_timed                                               1.7%   98.6%
_platform_memset                                                                 1.5%    1.5%
mach_absolute_time                                                               1.4%    1.4%
pgen::generated_parsers::regex::RegexParser::parse_capture_open::::{closure}     1.3%    1.9%
pgen::generated_parsers::regex::RegexParser::cascade_build_piece                 1.3%   10.2%
core::ptr::drop_in_placepgen..generated_parsers..regex..RegexParser              1.2%    4.8%
core::ptr::drop_in_placepgen..ast_pipeline..NodeArena                            1.2%    1.4%
mi_theap_malloc_zero_aligned_at_overalloc                                        1.1%    3.5%
pgen::generated_parsers::regex::RegexParser::scan_letter                         1.1%    1.5%
mi_theap_malloc_zero_aligned_at_generic                                          1.0%    1.9%
mi_bin                                                                           1.0%    1.0%
pgen::generated_parsers::regex::RegexParser::with_semantic_runtime_rule_transa   1.0%   13.4%
core::ptr::drop_in_placestd..collections..hash..map..HashMapu16usizepgen..ast_   1.0%    1.0%

=== band_2p5to20 total=10673
pgen::generated_parsers::regex::RegexParser::cascade_match_piece                 7.9%  133.9%
pgen::generated_parsers::regex::RegexParser::cascade_match_atom::::{closure}     7.8%  120.7%
_platform_memmove                                                                7.4%    7.4%
typed_arena::ArenaT::alloc_extend                                                5.3%    5.9%
pgen::generated_parsers::regex::RegexParser::parse_pattern                       3.8%   74.7%
mi_free                                                                          3.7%    6.2%
hashbrown::map::HashMapKVSA::insert                                              3.6%    4.0%
pgen::ast_pipeline::ParseContent::to_shaped_value                                2.9%    9.7%
mi_malloc_aligned                                                                2.7%    4.1%
pgen::generated_parsers::regex::RegexParser::cascade_match_alternative           2.4%   60.8%
pgen::generated_parsers::regex::RegexParser::cascade_build_alternative           2.3%    8.8%
OUTLINED_FUNCTION_41                                                             1.8%    1.8%
pgen::generated_parsers::regex::RegexParser::with_semantic_runtime_rule_transa   1.6%   16.0%
core::ptr::drop_in_placepgen..ast_pipeline..NodeArena                            1.5%    1.7%
_core..hash..sip..HasherS$u20$as$u20$core..hash..Hasher::write                   1.4%    1.4%
