range qualification: PASS g1c_sites=7 thin_memo_success_sites=2 instruction_overlap=0
probe_sha256=1d3fa0eebb4de19ff003ace38721d80d71bd94653f8ea3801c0f29ca9581f9b8
bands=sub1us,1to2p5,2p5to20
rows sorted by aggregate dynamic count
pc target=piece        address=0x10005cb20 offset=15872 total=  69 sub1us=20 1to2p5=28 2p5to20=21 | ldr x9, [x20, #0x28]
pc target=piece        address=0x10005c084 offset=13156 total=  63 sub1us=26 1to2p5=22 2p5to20=15 | ldr x22, [x20, #0x498]
pc target=piece        address=0x10005c574 offset=14420 total=  56 sub1us=19 1to2p5=16 2p5to20=21 | ldr x8, [x20, #0x258]
pc target=piece        address=0x10005c504 offset=14308 total=  48 sub1us=15 1to2p5=13 2p5to20=20 | ldr x8, [x20, #0x18]
pc target=piece        address=0x10005c140 offset=13344 total=  47 sub1us=3 1to2p5=16 2p5to20=28 | ldr x8, [x20, #0x490]
pc target=piece        address=0x100058dfc offset=  220 total=  46 sub1us=13 1to2p5=13 2p5to20=20 | ldr x8, [x20, #0x490]
pc target=piece        address=0x10005bfd0 offset=12976 total=  45 sub1us=16 1to2p5=14 2p5to20=15 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x10006f1f4 offset=17664 total=  41 sub1us=12 1to2p5=15 2p5to20=14 | ldr x1, [x20, #0x2f8]
pc target=atom_closure address=0x10006ae7c offset=  392 total=  38 sub1us=15 1to2p5=11 2p5to20=12 | ldrb w8, [x20, #0x504]
pc target=piece        address=0x100059164 offset= 1092 total=  38 sub1us=17 1to2p5=7 2p5to20=14 | ldr x8, [x20]
pc target=piece        address=0x10005cb10 offset=15856 total=  38 sub1us=13 1to2p5=11 2p5to20=14 | ldr x9, [x20, #0x10]
pc target=piece        address=0x10005ecec offset=24524 total=  36 sub1us=9 1to2p5=14 2p5to20=13 | ldrb w8, [x20, #0x504]
pc target=piece        address=0x100059c74 offset= 3924 total=  35 sub1us=14 1to2p5=11 2p5to20=10 | ldr x9, [x20, #0x2f8]
pc target=atom_closure address=0x10006e9f4 offset=15616 total=  33 sub1us=9 1to2p5=10 2p5to20=14 | ldr x1, [x20, #0x2f8]
pc target=piece        address=0x1000591d8 offset= 1208 total=  33 sub1us=14 1to2p5=11 2p5to20=8 | ldr x8, [x20, #0x278]
