probe	construct	lrm_1800_2017	before_sv_2017	after_sv_2017	class
implies	a implies b (named property)	A.2.10 legal; `implies` reserved (Annex B)	REJECT	ACCEPT	OVER-REJECTION -> FIXED
implies_noclk	a implies b (no clocking event)	A.2.10 legal	REJECT	ACCEPT	OVER-REJECTION -> FIXED
implies_inline	assert property (@clk a implies b)	A.2.10 legal	REJECT	ACCEPT	OVER-REJECTION -> FIXED
implies_chain	a implies b until c / a until b implies c	A.2.10 + Table 16-3 (one right-assoc group)	(new)	ACCEPT	PRECEDENCE PROBE
implies_iff_mix	a iff b implies c	A.2.10 + Table 16-3 (iff binds tighter)	(new)	ACCEPT	PRECEDENCE PROBE
arrow_unary_prop	-> b in property position	NOT a production; -> is BINARY only	ACCEPT	REJECT	OVER-ACCEPTANCE -> FIXED
or_assign_prop	a |= b in property position	NOT a production; |= is an assignment op	ACCEPT	REJECT	OVER-ACCEPTANCE -> FIXED
arrow_prop	a -> b in property position	LEGAL as an EXPRESSION (IEEE 1800-2017 §11.3.2: implication -> is a binary operator), reached via property_expr ::= sequence_expr ::= ... ::= expression	ACCEPT	ACCEPT	CONTROL - see the correction note
accept_on	accept_on (b) a	A.2.10 legal	ACCEPT	ACCEPT	control
and_or	a and b / a or b	A.2.10 legal	ACCEPT	ACCEPT	control
baseline_seq	a |-> b	A.2.10 legal	ACCEPT	ACCEPT	control
eventually	eventually [1:2] a	A.2.10 legal	ACCEPT	ACCEPT	control
iff	a iff b	A.2.10 legal	ACCEPT	ACCEPT	control
named_property_instance	q and b, q a named property	A.2.10 legal	ACCEPT	ACCEPT	control
nexttime	nexttime a	A.2.10 legal	ACCEPT	ACCEPT	control
reject_on	reject_on (b) a	A.2.10 legal	ACCEPT	ACCEPT	control
s_always	s_always [1:2] a	A.2.10 legal	ACCEPT	ACCEPT	control
s_eventually	s_eventually a	A.2.10 legal	ACCEPT	ACCEPT	control
s_nexttime	s_nexttime a	A.2.10 legal	ACCEPT	ACCEPT	control
s_until_with	a s_until_with b	A.2.10 legal	ACCEPT	ACCEPT	control
sync_accept_on	sync_accept_on (b) a	A.2.10 legal	ACCEPT	ACCEPT	control
sync_reject_on	sync_reject_on (b) a	A.2.10 legal	ACCEPT	ACCEPT	control
until	a until b	A.2.10 legal	ACCEPT	ACCEPT	control
