# config use-clause repro matrix — profile sv_2023
case                           verdict  furthest  want    LRM
a1_use_cell                    ACCEPT   -         ACCEPT  A.1.5 use_clause alt 1
a2_use_lib_cell                ACCEPT   -         ACCEPT  A.1.5 use_clause alt 1 (+lib)
a3_use_lib_cell_config         ACCEPT   -         ACCEPT  A.1.5 use_clause alt 1 (:config)
a4_use_named_only              ACCEPT   -         ACCEPT  A.1.5 use_clause alt 2
a5_use_named_multi             ACCEPT   -         ACCEPT  A.1.5 use_clause alt 2 (list)
a6_use_cell_named              ACCEPT   -         ACCEPT  A.1.5 use_clause alt 3
a7_use_lib_cell_named          ACCEPT   -         ACCEPT  A.1.5 use_clause alt 3 (+lib)
h1_hash_named                  ACCEPT   -         ACCEPT  33.4.3 :365 (2017)
h2_hash_named_hier             ACCEPT   -         ACCEPT  33.4.3 :366 (2017)
h3_hash_empty                  ACCEPT   -         ACCEPT  33.4.3 :424 (2023)
h4_hash_named_default          ACCEPT   -         ACCEPT  33.4.3 :413 (2023)
h5_hash_named_multi            ACCEPT   -         ACCEPT  corpus: verilator t_config_param
c1_default_liblist             ACCEPT   -         ACCEPT  control — liblist clause
c2_cell_use_config             ACCEPT   -         ACCEPT  control — cell_clause use_clause
c3_module_param_inst           ACCEPT   -         ACCEPT  control — ordinary #() instantiation
n1_hash_positional_ILLEGAL     REJECT   252       REJECT  33.4.3 :333 — FORBIDS positional
n2_hash_mixed_ILLEGAL          REJECT   252       REJECT  33.4.3 :333 — FORBIDS positional

cases differing from the post-fix expectation: 0
