final_verdict	repro	note	verdict	channel	suite	relpath	fail_line	wrapper	form	decl_count	declarations	macro	rounds	residual_furthest	snippet
CROSS-FILE-FACTS			CROSS-FILE-FACTS	UNDECLARED-ANYWHERE	Surelog	tests/ModPortTest/top.v	14	none	class	2	DD,id_t1		3		id_t1 aw_id; modport Master ( output aw_id ); id_t
CROSS-FILE-FACTS			CROSS-FILE-FACTS	UNDECLARED-ANYWHERE	Surelog	tests/UnitClass/top.v	24	none	class	1	DD		2		ass B b; DD d; covergroup memory @ (posedge ce); address : co
CROSS-FILE-FACTS			CROSS-FILE-FACTS	NO-FACT-GATE-AT-FAILURE	opentitan	hw/dv/sv/cip_lib/cip_lc_tx_cov_if.sv	11	none	class	1	mubi_cov		2		(lc_ctrl_pkg::Off)) lc_tx_cov; lc_tx_cov cov; initial begin cov = lc_tx_
CROSS-FILE-FACTS			CROSS-FILE-FACTS	UNDECLARED-ANYWHERE	opentitan	hw/ip/i3c/rtl/i3c_dat.sv	27	none	class	3	i3c_dat_mem_t,ram_1p_cfg_rsp_t,ram_1p_cfg_t		4		ut i3c_dat_mem_t dat_rdata_o, // HCI Device Address Table interface. inp
CROSS-FILE-FACTS			CROSS-FILE-FACTS	UNDECLARED-ANYWHERE	opentitan	hw/ip/i3c/rtl/i3c_dct.sv	28	none	class	3	i3c_dct_mem_t,ram_1p_cfg_rsp_t,ram_1p_cfg_t		4		t i3c_dct_mem_t dct_wdata_i, // HCI Device Characteristics Table interfac
CROSS-FILE-FACTS			CROSS-FILE-FACTS	UNDECLARED-ANYWHERE	opentitan	hw/ip/i3c/rtl/i3c_dxt.sv	53	none	class	2	ram_1p_cfg_rsp_t,ram_1p_cfg_t		3		t ram_1p_cfg_t cfg_i, output ram_1p_cfg_rsp_t cfg_rsp_o ); localparam
CROSS-FILE-FACTS			CROSS-FILE-FACTS	UNDECLARED-ANYWHERE	opentitan	hw/vendor/lowrisc_ibex/dv/formal/spec/spec_api.sv	24	none	class	10	t_Counteren,t_MainMode,t_MainResult,t_Mcause,t_Minterrupts,t_Mseccfg_ent,t_Mstatus,t_Mtvec,t_Pmpcfg_ent,t_Privilege		11		input t_MainMode main_mode, input [31:0] regs_i [1:31], output logi
CROSS-FILE-FACTS			CROSS-FILE-FACTS	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/base/uvm_port_base.svh	75	none	class	7	uvm_component,uvm_coreservice_t,uvm_object,uvm_phase,uvm_port_type_e,uvm_root,uvm_void		8		xtends uvm_component; function new (string name, uvm_component parent);
CROSS-FILE-FACTS			CROSS-FILE-FACTS	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/comps/uvm_policies.svh	147	none	class	1	uvm_object		2		function uvm_object clone(input T from); return from.clone(); endfunction
DEFECT	defect_cross_body_item.sv	`ignore_bins ignore_enable_off = peri_cross with (…)` inside a cross body	RESIDUAL	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip_autogen/clkmgr/dv/env/clkmgr_env_cov.sv	24		class+module+package+interface	1	peri_cross		14	1082	le_off = peri_cross with (csr_enable_cp == 1 && ip_clk_en_cp == 0); } endg
DEFECT	defect_tfport_index_method_call.sv	`ral.vendor_test_digest[0].get_offset()` with `ral` a covergroup/subroutine formal	RESIDUAL	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip_autogen/otp_ctrl/dv/env/otp_ctrl_env_cov.sv	56		class+module+package+interface	19	OtpAccessError,OtpCheckFailError,OtpFsmStateError,OtpMacroEccCorrError,OtpMacroEccUncorrError,OtpMacroError,OtpNoError,TL_DW,buf_err_code_cg,covergroup,csr_offset,endgroup,name,new,option,otp_ctrl_core_reg_block,ral,unbuf_err_code_cg,val		14	4956	ctrl_core_reg_block ral) with function sample(bit[TL_DW-1:0]
DEFECT	defect_constant_size_cast.sv	`512'({ 64'h…, 448'h0 })` in a parameter's constant expression	RESIDUAL	NO-FACT-GATE-AT-FAILURE	opentitan	hw/top_darjeeling/rtl/autogen/testing/top_darjeeling_rnd_cnst_pkg.sv	244		class+module+package+interface	1	otp_ctrl_top_specific_pkg		14	6081	448'h0 }) }; //////////////////////////////////////////// // lc_ct
DEFECT	defect_cross_body_item.sv	same construct as the darjeeling copy	RESIDUAL	UNDECLARED-ANYWHERE	opentitan	hw/top_earlgrey/ip_autogen/clkmgr/dv/env/clkmgr_env_cov.sv	24		class+module+package+interface	1	peri_cross		14	1082	le_off = peri_cross with (csr_enable_cp == 1 && ip_clk_en_cp == 0); } endg
