verdict	channel	suite	relpath	furthest	stuck	first_tick	fail_line	bytes	fact_names	snippet
IN-WINDOW		Cores-VeeR-EL2	design/dbg/el2_dbg.sv	1154	1155	1155	27	47860		port el2_pkg::*; #( `include "el2_param.vh" )( // outputs to the core for co
IN-WINDOW		Cores-VeeR-EL2	design/dec/el2_dec.sv	1039	1044	1044	33	22040		el2_pkg::*; #( `include "el2_param.vh" ) ( input logic clk,
IN-WINDOW		Cores-VeeR-EL2	design/dec/el2_dec_decode_ctl.sv	707	708	708	20	74416		port el2_pkg::*; #( `include "el2_param.vh" ) ( input logic dec_tlu_trace_
IN-WINDOW		Cores-VeeR-EL2	design/dec/el2_dec_gpr_ctl.sv	703	707	707	19	4034		t el2_pkg::*; #( `include "el2_param.vh" ) ( input logic [4:0] raddr0,
IN-WINDOW		Cores-VeeR-EL2	design/dec/el2_dec_ib_ctl.sv	702	703	703	19	6807		port el2_pkg::*; #( `include "el2_param.vh" ) ( input logic
IN-WINDOW		Cores-VeeR-EL2	design/dec/el2_dec_pmp_ctl.sv	943	944	944	29	7875		port el2_pkg::*; #( `include "el2_param.vh" ) ( input logic clk, input
IN-WINDOW		Cores-VeeR-EL2	design/dec/el2_dec_tlu_ctl.sv	979	980	980	29	168585		port el2_pkg::*; #( `include "el2_param.vh" ) ( input logic clk, input
IN-WINDOW		Cores-VeeR-EL2	design/dec/el2_dec_trigger.sv	940	941	941	28	1992		port el2_pkg::*; #( `include "el2_param.vh" )( input el2_trigger_pkt_t [3:0
IN-WINDOW		Cores-VeeR-EL2	design/el2_dma_ctrl.sv	933	934	934	27	37969		port el2_pkg::*; #( `include "el2_param.vh" )( input logic clk, i
IN-WINDOW		Cores-VeeR-EL2	design/el2_mem.sv	911	912	912	22	8216		port el2_pkg::*; #( `include "el2_param.vh" ) ( input logic clk,
IN-WINDOW		Cores-VeeR-EL2	design/el2_pic_ctrl.sv	1094	1095	1095	26	30195		port el2_pkg::*; #( `include "el2_param.vh" ) (
IN-WINDOW		Cores-VeeR-EL2	design/el2_pmp.sv	923	927	927	24	13056		to veer.config `include "el2_param.vh" ) ( input logic clk, // To
IN-WINDOW		Cores-VeeR-EL2	design/el2_veer.sv	927	928	928	26	64185		port el2_pkg::*; #( `include "el2_param.vh" ) ( input logic
IN-WINDOW		Cores-VeeR-EL2	design/el2_veer_lockstep.sv	137	142	142	8	66956		el2_pkg::*; #( `include "el2_param.vh" ) ( `ifdef RV_LOCKSTEP_REGFILE_ENABL
