# dist-list repro matrix — profile sv_2017
case                         verdict  furthest  LRM
d1_dist_weighted             ACCEPT   -         §18.5.4 :503
d2_dist_range_eq             ACCEPT   -         §18.5.4 :518
d3_dist_range_prop           ACCEPT   -         §18.5.4 :520
d4_dist_unweighted_soft      ACCEPT   -         §18.5.11 :1406
d5_dist_in_property          ACCEPT   -         A.2.10 expression_or_dist
c1_constraint_no_dist        ACCEPT   -         control — no dist
c2_concat_expression         ACCEPT   -         control — real concatenation
n1_dist_no_braces_ILLEGAL    REJECT   47        A.2.10 — NO such production

d4 dist-item value kind: number   (per LRM)
