class	suite	relpath	verdict	stuck_tick	furthest	stuck	surface	first_tick	last_tick	fail_line	first_tick_line	bytes	snippet
conditional	Surelog	tests/FuncStructVal/dut.sv	STUCK-ON-SVPP-TOKEN	ifndef	14565	14565	4792	14565	14929	417	417	24713	ragma translate_off `ifndef VERILATOR assert (Cfg.RASDepth > 0); assert
conditional	Surelog	tests/PPComment/dut.sv	STUCK-ON-SVPP-TOKEN	define	13	19	0	19	171	3	3	189	module top(); `define USE_BOOTMODE_TEST `ifdef USE_BOOTMODE_TEST
conditional	Surelog	tests/PoundParam/dut.v	STUCK-ON-SVPP-TOKEN	ifdef	383	385	49	385	654	20	20	1191	eg [SIZE-1:0] q ; `ifdef NO_SCAN always @ (posedge clk) q[SIZE-1:0] <= ((rst
conditional	ispras-sv-tests	ieee-1800-2012/05/05.06.04_01.sv	STUCK-ON-SVPP-TOKEN	ifdef	200	205	173	155	337	12	8	360	initial begin `ifdef wordsize $display("`wordsize is defined (even i
conditional	ispras-sv-tests	ieee-1800-2012/22/22.06_01.sv	STUCK-ON-SVPP-TOKEN	ifdef	170	174	123	174	244	12	12	262	a; input b, c; `ifdef behavioral wire a = b & c; `else and a1 (a,
conditional	ispras-sv-tests	ieee-1800-2012/22/22.06_02.sv	STUCK-ON-SVPP-TOKEN	define	154	157	123	157	773	10	10	791	); output out; `define wow `define nest_one `define second_nest `defi
conditional	ispras-sv-tests	ieee-1800-2012/22/22.06_03.sv	STUCK-ON-SVPP-TOKEN	ifdef	134	138	123	138	764	9	9	782	IVE module top; `ifdef first_block `ifndef second_nest initial $di
conditional	iverilog	ivtest/ivltests/br_gh112c.v	STUCK-ON-SVPP-TOKEN	ifdef	258	260	73	0	527	20	1	1207	= 256) failed = 1; `ifdef SUPPORT_CONST_OUT_OF_RANGE_IN_IVTEST i = $bits(arra
conditional	iverilog	ivtest/ivltests/br_gh112d.v	STUCK-ON-SVPP-TOKEN	ifdef	258	260	73	0	527	20	1	1207	= 256) failed = 1; `ifdef SUPPORT_CONST_OUT_OF_RANGE_IN_IVTEST i = $bits(arra
conditional	iverilog	ivtest/ivltests/br_gh337.v	STUCK-ON-SVPP-TOKEN	ifdef	137	139	69	0	228	13	1	573	nt x); endfunction `ifdef SUPPORT_TWO_STATE_NETS_IN_IVTEST wire int w2 = y2(x2)
conditional	iverilog	ivtest/ivltests/cfunc_assign_op_mixed.v	STUCK-ON-SVPP-TOKEN	ifdef	476	477	67	0	1215	37	1	2552	t integer x); begin `ifdef SUPPORT_REAL_MODULUS_IN_IVTEST x %= 2.0; `else x
conditional	iverilog	ivtest/ivltests/cfunc_assign_op_real.v	STUCK-ON-SVPP-TOKEN	ifdef	875	877	67	0	3522	69	1	3614	x; end endfunction `ifdef SUPPORT_REAL_MODULUS_IN_IVTEST function real mod2(inp
conditional	iverilog	ivtest/ivltests/implicit_cast12.v	STUCK-ON-SVPP-TOKEN	ifdef	1653	1655	1417	57	8977	70	3	11108	d [7:0] src_sx; `ifdef SUPPORT_REAL_NETS_IN_IVTEST wire real
conditional	iverilog	ivtest/ivltests/implicit_cast13.v	STUCK-ON-SVPP-TOKEN	ifdef	1110	1112	874	58	9097	50	3	11228	d [7:0] src_sx; `ifdef SUPPORT_REAL_NETS_IN_IVTEST wire real
conditional	iverilog	ivtest/ivltests/implicit_cast4.v	STUCK-ON-SVPP-TOKEN	ifdef	415	417	179	72	4299	21	3	7046	d [7:0] src_sx; `ifdef SUPPORT_REAL_NETS_IN_IVTEST wire real
conditional	iverilog	ivtest/ivltests/implicit_cast5.v	STUCK-ON-SVPP-TOKEN	ifdef	403	405	167	60	6096	21	3	8227	d [7:0] src_sx; `ifdef SUPPORT_REAL_NETS_IN_IVTEST wire real
