edition	rule	bucket	ieee_says	ieee_caption	clause	modelled_in_shipped_grammar	source_md	body
2017	A	formal_semantics_metavariable	not in Annex A	(none — running text)	0	no	section-100-time-units.md	always assert property ( U )
2017	P	formal_semantics_metavariable	not in Annex A	(none — running text)	0	no	section-100-time-units.md	strong ( R )
2017	Q	formal_semantics_metavariable	not in Annex A	(none — running text)	0	no	section-100-time-units.md	@( b ) P
2017	R	formal_semantics_metavariable	not in Annex A	(none — running text)	0	no	section-100-time-units.md	b
2017	S	formal_semantics_metavariable	not in Annex A	(none — running text)	0	no	section-100-time-units.md	@(b) R
2017	T	formal_semantics_metavariable	not in Annex A	(none — running text)	0	no	section-100-time-units.md	P // plain form | disable iff ( b ) P
2017	U	formal_semantics_metavariable	not in Annex A	(none — running text)	0	no	section-100-time-units.md	Q // plain form | disable iff ( b ) Q
2017	actual_argument	compiler_directive	not in Annex A	Syntax 22-3	22	no	section-22-compiler-directives.md	expression
2017	array_dimension_function	system_task_function	not in Annex A	Syntax 20-8	20	no	section-20-utility-system-tasks-and-system-functions.md	$left | $right | $low | $high | $increment | $size
2017	array_dimensions_function	system_task_function	not in Annex A	Syntax 20-8	20	no	section-20-utility-system-tasks-and-system-functions.md	$dimensions | $unpacked_dimensions
2017	array_expression	system_task_function	not in Annex A	Syntax 20-8	20	no	section-20-utility-system-tasks-and-system-functions.md	expression
2017	array_method_call	sv_source_syntax	not in Annex A	Syntax 7-5	7	no	section-16-777-216-224-elements.md	expression . array_method_name { attribute_instance } [ ( iterator_argument ) ] [ with ( expression ) ]
2017	array_query_function	system_task_function	not in Annex A	Syntax 20-8	20	no	section-20-utility-system-tasks-and-system-functions.md	array_dimension_function ( array_expression [ , dimension_expression ] ) | array_dimension_function ( data_type [ , dimension_expression ] ) | array_dimensions_function ( array_expression ) | array_dimensions_function ( data_type )
2017	array_type	system_task_function	not in Annex A	Syntax 20-16	20	no	section-20-utility-system-tasks-and-system-functions.md	sync | async
2017	assert_action_task	system_task_function	not in Annex A	Syntax 20-12	20	no	section-20-utility-system-tasks-and-system-functions.md	$assertpasson | $assertpassoff | $assertfailon | $assertfailoff | $assertnonvacuouson | $assertvacuousoff
2017	assert_control_task	system_task_function	not in Annex A	Syntax 20-12	20	no	section-20-utility-system-tasks-and-system-functions.md	assert_task [ ( levels [ , list_of_scopes_or_assertions ] ) ] ; | assert_action_task [ ( levels [ , list_of_scopes_or_assertions ] ) ] ; | $assertcontrol ( control_type [ , [ assertion_type ] [ , [ directive_type ] [ , [ levels ] [ , list_o
2017	assert_task	system_task_function	not in Annex A	Syntax 20-12	20	no	section-20-utility-system-tasks-and-system-functions.md	$asserton | $assertoff | $assertkill
2017	bit_vector_function	system_task_function	not in Annex A	Syntax 20-9	20	no	section-20-utility-system-tasks-and-system-functions.md	$countbits ( expression , list_of_control_bits ) | $countones ( expression ) | $onehot ( expression ) | $onehot0 ( expression ) | $isunknown ( expression )
2017	built_in_data_type	sv_source_syntax	not in Annex A	Syntax 26-5	26	no	section-26-packages.md	[ std :: ] data_type_identifier
2017	built_in_function_call	sv_source_syntax	not in Annex A	Syntax 26-5	26	no	section-26-packages.md	[ std :: ] function_subroutine_call
2017	close_text	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	final_simulation_time
2017	command_text	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	comment_text | close_text | date_section | scope_section | timescale_section | var_section | version_section
2017	conditional_compilation_directive	compiler_directive	not in Annex A	Syntax 22-5	22	no	section-22-compiler-directives.md	ifdef_directive | ifndef_directive
2017	date_section	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	date_text
2017	date_text	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	{ ASCII character }
2017	declaration_command	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$comment [ comment_text ] $end | $date [ date_text ] $end | $enddefinitions $end | $scope [ scope_type scope_identifier ] $end | $timescale [ time_number time_unit ] $end | $upscope $end | $var [ var_type size identifier_code reference ] $e
2017	declaration_keyword	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$comment | $date | $enddefinitions | $scope | $timescale | $upscope | $var | $vcdclose | $version
2017	default_nettype_compiler_directive	compiler_directive	not in Annex A	Syntax 22-7	22	no	section-22-compiler-directives.md	`default_nettype default_nettype_value
2017	default_nettype_value	compiler_directive	not in Annex A	Syntax 22-7	22	no	section-22-compiler-directives.md	wire | tri | tri0 | tri1 | wand | triand | wor | trior | trireg | uwire | none
2017	dimension_expression	system_task_function	not in Annex A	Syntax 20-8	20	no	section-20-utility-system-tasks-and-system-functions.md	expression
2017	display_task_name	system_task_function	not in Annex A	Syntax 21-1	21	no	section-21-input-output-system-tasks-and-system-functions.md	$display | $displayb | $displayo | $displayh | $write | $writeb | $writeo | $writeh
2017	display_tasks	system_task_function	not in Annex A	Syntax 21-1	21	no	section-21-input-output-system-tasks-and-system-functions.md	display_task_name [ ( list_of_arguments ) ] ;
2017	dist_functions	system_task_function	not in Annex A	Syntax 20-15	20	no	section-20-utility-system-tasks-and-system-functions.md	$dist_uniform ( seed , start , end ) | $dist_normal ( seed , mean , standard_deviation ) | $dist_exponential ( seed , mean ) | $dist_poisson ( seed , mean ) | $dist_chi_square ( seed , degree_of_freedom ) | $dist_t ( seed , degree_of_freedo
2017	dumpall_task	system_task_function	not in Annex A	Syntax 21-17	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpall ;
2017	dumpfile_task	system_task_function	not in Annex A	Syntax 21-14	21	no	section-21-input-output-system-tasks-and-system-functions.md	$dumpfile ( filename ) ;
2017	dumpflush_task	system_task_function	not in Annex A	Syntax 21-19	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpflush ;
2017	dumplimit_task	system_task_function	not in Annex A	Syntax 21-18	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumplimit ( filesize ) ;
2017	dumpoff_task	system_task_function	not in Annex A	Syntax 21-16	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpoff ;
2017	dumpon_task	system_task_function	not in Annex A	Syntax 21-16	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpon ;
2017	dumpports_command	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpports (scope_identifier , string_literal | variable | expression )
2017	dumpports_task	system_task_function	not in Annex A	Syntax 21-21	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpports ( scope_list , filename ) ;
2017	dumpportsall_task	system_task_function	not in Annex A	Syntax 21-23	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpportsall ( filename ) ;
2017	dumpportsflush_task	system_task_function	not in Annex A	Syntax 21-25	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpportsflush ( filename ) ;
2017	dumpportslimit_task	system_task_function	not in Annex A	Syntax 21-24	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpportslimit ( filesize , filename ) ;
2017	dumpportsoff_task	system_task_function	not in Annex A	Syntax 21-22	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpportsoff ( filename ) ;
2017	dumpportson_task	system_task_function	not in Annex A	Syntax 21-22	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpportson ( filename ) ;
2017	dumpvars_task	system_task_function	not in Annex A	Syntax 21-15	21	no	section-21-input-output-system-tasks-and-system-functions.md	$dumpvars ; | $dumpvars ( levels [ , list_of_modules_or_variables ] ) ;
2017	endkeywords_directive	compiler_directive	not in Annex A	Syntax 22-10	22	no	section-22-compiler-directives.md	`end_keywords
2017	fatal_message_task	system_task_function	not in Annex A	Syntax 20-10	20	no	section-20-utility-system-tasks-and-system-functions.md	$fatal [ ( finish_number [ , list_of_arguments ] ) ] ;
2017	file_close_task	system_task_function	not in Annex A	Syntax 21-4	21	no	section-21-input-output-system-tasks-and-system-functions.md	$fclose ( multi_channel_descriptor ) ; | $fclose ( fd ) ;
2017	file_eof_detect_function	system_task_function	not in Annex A	Syntax 21-11	21	no	section-21-input-output-system-tasks-and-system-functions.md	$feof ( fd )
2017	file_error_detect_function	system_task_function	not in Annex A	Syntax 21-10	21	no	section-21-input-output-system-tasks-and-system-functions.md	$ferror ( fd , str )
2017	file_flush_task	system_task_function	not in Annex A	Syntax 21-9	21	no	section-21-input-output-system-tasks-and-system-functions.md	$fflush ( [ mcd | fd ] ) ;
2017	file_open_function	system_task_function	not in Annex A	Syntax 21-4	21	no	section-21-input-output-system-tasks-and-system-functions.md	multi_channel_descriptor = $fopen ( filename ) ; | fd = $fopen ( filename , type ) ;
2017	file_output_task_name	system_task_function	not in Annex A	Syntax 21-5	21	no	section-21-input-output-system-tasks-and-system-functions.md	$fdisplay | $fdisplayb | $fdisplayh | $fdisplayo | $fwrite | $fwriteb | $fwriteh | $fwriteo | $fstrobe | $fstrobeb | $fstrobeh | $fstrobeo | $fmonitor | $fmonitorb | $fmonitorh | $fmonitoro
2017	file_output_tasks	system_task_function	not in Annex A	Syntax 21-5	21	no	section-21-input-output-system-tasks-and-system-functions.md	file_output_task_name ( multi_channel_descriptor [ , list_of_arguments ] ) ; | file_output_task_name ( fd [ , list_of_arguments ] ) ;
2017	file_positioning_functions	system_task_function	not in Annex A	Syntax 21-8	21	no	section-21-input-output-system-tasks-and-system-functions.md	$ftell ( fd ) | $fseek ( fd , offset , operation ) | $rewind ( fd )
2017	file_read_functions	system_task_function	not in Annex A	Syntax 21-7	21	no	section-21-input-output-system-tasks-and-system-functions.md	$fgetc ( fd ) | $ungetc ( c , fd ) | $fgets ( str , fd ) | $fscanf ( fd , format , args ) | $sscanf ( str , format , args ) | $fread ( integral_var , fd ) | $fread ( mem , fd [ , [ start ] [ , count ] ] )
2017	final_simulation_time	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	simulation_time
2017	formal_argument	compiler_directive	not in Annex A	Syntax 22-2	22	no	section-22-compiler-directives.md	simple_identifier [ = default_text ]
2017	format	system_task_function	not in Annex A	Syntax 20-16	20	no	section-20-utility-system-tasks-and-system-functions.md	array | plane
2017	global_clocking_future_function	system_task_function	not in Annex A	Syntax 20-13	20	no	section-20-utility-system-tasks-and-system-functions.md	$future_gclk ( expression ) | $rising_gclk ( expression ) | $falling_gclk ( expression ) | $steady_gclk ( expression ) | $changing_gclk ( expression )
2017	global_clocking_past_function	system_task_function	not in Annex A	Syntax 20-13	20	no	section-20-utility-system-tasks-and-system-functions.md	$past_gclk ( expression ) | $rose_gclk ( expression ) | $fell_gclk ( expression ) $assertvacuousoff cbAssertionSysDisableVacuousAction cbAssertionDisableVacuousAction $assertcontrol with control_type 1 (lock) cbAssertionSysLock cbAssertionL
2017	identifier_code	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	{ ASCII character }
2017	ifdef_directive	compiler_directive	not in Annex A	Syntax 22-5	22	no	section-22-compiler-directives.md	`ifdef text_macro_identifier ifdef_group_of_lines { `elsif text_macro_identifier elsif_group_of_lines } [ `else else_group_of_lines ] `endif
2017	ifndef_directive	compiler_directive	not in Annex A	Syntax 22-5	22	no	section-22-compiler-directives.md	`ifndef text_macro_identifier ifndef_group_of_lines { `elsif text_macro_identifier elsif_group_of_lines } [ `else else_group_of_lines ] `endif
2017	index	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	decimal_number
2017	input_terms	system_task_function	not in Annex A	Syntax 20-16	20	no	section-20-utility-system-tasks-and-system-functions.md	expression
2017	input_value	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	D | U | N | Z | d | u
2017	item_name	sv_source_syntax	not in Annex A	Syntax 23-8	23	no	section-23-modules-and-hierarchy.md	function_identifier | block_identifier | net_identifier | parameter_identifier | port_identifier | task_identifier | variable_identifier
2017	keywords_directive	compiler_directive	not in Annex A	Syntax 22-10	22	no	section-22-compiler-directives.md	`begin_keywords "version_specifier"
2017	list_of_actual_arguments	compiler_directive	not in Annex A	Syntax 22-3	22	no	section-22-compiler-directives.md	actual_argument { , actual_argument }
2017	list_of_control_bits	system_task_function	not in Annex A	Syntax 20-9	20	no	section-20-utility-system-tasks-and-system-functions.md	control_bit { , control_bit }
2017	list_of_formal_arguments	compiler_directive	not in Annex A	Syntax 22-2	22	no	section-22-compiler-directives.md	formal_argument { , formal_argument }
2017	list_of_modules_or_variables	system_task_function	not in Annex A	Syntax 21-15	21	no	section-21-input-output-system-tasks-and-system-functions.md	module_or_variable { , module_or_variable }
2017	list_of_scopes_or_assertions	system_task_function	not in Annex A	Syntax 20-12	20	no	section-20-utility-system-tasks-and-system-functions.md	scope_or_assertion { , scope_or_assertion }
2017	load_memory_tasks	system_task_function	not in Annex A	Syntax 21-12	21	no	section-21-input-output-system-tasks-and-system-functions.md	$readmemb ( filename , memory_name [ , start_addr [ , finish_addr ] ] ) ; | $readmemh ( filename , memory_name [ , start_addr [ , finish_addr ] ] ) ;
2017	logic	system_task_function	not in Annex A	Syntax 20-16	20	no	section-20-utility-system-tasks-and-system-functions.md	and | or | nand | nor
2017	lsb_index	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	index
2017	memory_identifier	system_task_function	not in Annex A	Syntax 20-16	20	no	section-20-utility-system-tasks-and-system-functions.md	identifier
2017	module_or_variable	system_task_function	not in Annex A	Syntax 21-15	21	no	section-21-input-output-system-tasks-and-system-functions.md	module_identifier | variable_identifier
2017	monitor_task_name	system_task_function	not in Annex A	Syntax 21-3	21	no	section-21-input-output-system-tasks-and-system-functions.md	$monitor | $monitorb | $monitoro | $monitorh
2017	monitor_tasks	system_task_function	not in Annex A	Syntax 21-3	21	no	section-21-input-output-system-tasks-and-system-functions.md	monitor_task_name [ ( list_of_arguments ) ] ; | $monitoron ; | $monitoroff ;
