keyword	verdict	witness	accepts_verilog_2005	accepts_sv_2017_control	accepts_after_identifier_substitution
chandle	over_acceptance	chandle.sv	true	true	false
class_qualifier	over_acceptance	class_qualifier.sv	true	true	false
clocking	correctly_gated	clocking.sv	false	true	n/a
const	over_acceptance	const.sv	true	true	false
dist	correctly_gated	dist.sv	false	true	n/a
enum	over_acceptance	enum.sv	true	true	false
extern	over_acceptance	extern.sv	true	true	false
iff	over_acceptance	iff.sv	true	true	false
inside	correctly_gated	inside.sv	false	true	n/a
interface	correctly_gated	interface.sv	false	true	n/a
join_any	over_acceptance	join_any.sv	true	true	false
join_none	over_acceptance	join_none.sv	true	true	false
local	correctly_gated	local.sv	false	true	n/a
matches	correctly_gated	matches.sv	false	true	n/a
new	identifier_consumed	new.sv	true	true	true
null	identifier_consumed	null.sv	true	true	true
packed	correctly_gated	packed.sv	false	true	n/a
rand	over_acceptance	rand.sv	true	true	false
randc	unreachable_no_witness	randc.sv	false	false	n/a
randomize	identifier_consumed	randomize.sv	true	true	true
ref	correctly_gated	ref.sv	false	true	n/a
static	over_acceptance	static.sv	true	true	false
std	correctly_gated	std.sv	false	true	n/a
string	over_acceptance	string.sv	true	true	false
super	identifier_consumed	super.sv	true	true	true
this	identifier_consumed	this.sv	true	true	true
tx_path_delay_expression	identifier_consumed	tx_path_delay_expression.sv	true	true	true
type	identifier_consumed	type.sv	true	true	true
unique	correctly_gated	unique.sv	false	true	n/a
var	over_acceptance	var.sv	true	true	false
virtual	over_acceptance	virtual.sv	true	true	false
with	over_acceptance	with.sv	true	true	false
