# static build-value site inventory — generated/regex_parser.rs
# totals: alt_hop_clone=1848 direct_fold=342 other_clone=1848 peel_fn_clone=16 peel_walk_clone=16 pgen_content=323 raw_best_clone=667 raw_use_clone=1698 seq_peel_clone=2119

fn	seq_peel_clone	alt_hop_clone	other_clone	peel_walk_clone	peel_fn_clone	raw_best_clone	raw_use_clone	direct_fold	pgen_content
parse_directive_limit_value_core	132	132	132	0	0	69	150	0	0
parse_quant_bound_core	61	61	61	0	0	33	69	0	0
parse_invalid_class_range	57	48	48	0	0	43	43	0	19
parse_atom	50	41	41	0	0	30	42	0	9
parse_letter	52	52	52	0	0	0	52	0	0
parse_letter_no_upper_e	51	51	51	0	0	0	51	0	0
cascade_build_letter	52	52	52	0	0	0	0	0	0
cascade_build_letter_no_upper_e	51	51	51	0	0	0	0	0	0
parse_piece	29	22	22	0	0	17	38	0	24
parse_callout_number_core	30	30	30	0	0	16	34	0	0
parse_simple_escape_letter_strict	34	34	34	0	0	0	34	0	0
parse_special_char	31	31	31	0	0	0	31	0	0
parse_class_safe_special	30	30	30	0	0	0	30	0	0
parse_class_safe_special_nocaret	29	29	29	0	0	0	29	0	0
parse_extended_class_special	29	29	29	0	0	0	29	0	0
parse_code_safe_special	27	27	27	0	0	0	27	0	0
parse_backreference	27	19	19	0	0	11	19	0	12
parse_directive_option_name	21	21	21	0	0	21	21	0	0
parse_octal_escape_short_payload	24	24	24	0	0	0	24	0	0
parse_directive_relaxed_named	22	16	16	0	0	18	18	0	6
parse_literal_char	24	23	23	0	0	0	23	0	0
cascade_build_special_char	31	31	31	0	0	0	0	0	0
cascade_build_value_directive_limit_value_core	0	0	0	0	0	0	0	91	0
cascade_build_class_safe_special	30	30	30	0	0	0	0	0	0
parse_hex_digit	22	22	22	0	0	0	22	0	0
parse_class_range_literal_escape_letter_strict	21	21	21	0	0	0	21	0	0
parse_named_backreference	20	14	14	0	0	14	14	0	6
parse_callout_string	16	8	8	0	0	16	24	0	8
cascade_build_quant_bound_core	25	25	25	0	0	0	0	0	0
parse_condition	17	12	12	0	0	11	15	0	4
parse_descending_class_range	18	16	16	0	0	4	14	0	2
parse_posix_name	14	14	14	0	0	14	14	0	0
parse_alpha_lookaround_name	14	14	14	0	0	14	14	0	0
parse_class_range	16	13	13	0	0	10	10	0	6
parse_literal_open_brace	14	12	12	0	0	14	14	0	0
parse_prop_name	14	14	14	0	0	9	15	0	0
parse_counted_quantifier_body	13	12	12	0	0	12	12	0	4
cascade_build_directive_option_name	21	21	21	0	0	0	0	0	0
parse_octal_escape	14	13	13	0	0	4	14	0	2
parse_code_block_lang	14	12	12	0	0	6	12	0	2
parse_code_not_quote_or_backslash	15	14	14	0	0	0	14	0	0
parse_code_not_squote_or_backslash	15	14	14	0	0	0	14	0	0
parse_piece_tail	12	9	9	0	0	2	16	0	7
parse_quoted_literal_char	14	13	13	0	0	0	13	0	0
parse_quoted_class_literal_char	14	13	13	0	0	0	13	0	0
parse_class_range_any_char_no_orphan_quote_end	14	13	13	0	0	0	13	0	0
parse_quoted_literal_escape_tail	13	12	12	0	0	0	12	0	0
parse_simple_escape_tail	13	12	12	0	0	0	12	0	0
parse_modifier_item	9	8	8	0	0	5	17	0	1
parse_class_literal_nocaret	12	11	11	0	0	0	11	0	0
parse_class_literal	12	11	11	0	0	0	11	0	0
parse_extended_class_regular	12	11	11	0	0	0	11	0	0
parse_code_regular_char	12	11	11	0	0	0	11	0	0
parse_any_char	12	11	11	0	0	0	11	0	0
parse_class_range_nonliteral_atom	10	10	10	0	0	2	12	0	0
parse_alpha_condition_assertion	10	8	8	0	0	8	8	0	2
parse_class_escape_unit	9	8	8	0	0	8	8	0	1
parse_start_option_piece	9	7	7	0	0	2	8	0	8
parse_class_item_core	11	7	7	0	0	6	6	0	3
parse_class_range_nonliteral_shorthand	10	10	10	0	0	0	10	0	0
parse_atomic_alpha_lookaround_name	8	8	8	0	0	8	8	0	0
parse_modifier_seq	8	6	6	4	4	3	3	0	6
parse_digit	10	10	10	0	0	0	10	0	0
parse_backreference_digits_single	10	10	10	0	0	0	9	0	0
parse_escape_unit	9	7	7	0	0	7	7	0	2
parse_directive_verb_named	9	7	7	0	0	6	6	0	3
parse_counted_quantifier_range	8	7	7	0	0	6	6	0	2
parse_backreference_digits	9	9	9	0	0	0	9	0	0
parse_char_class	10	3	3	0	0	5	5	0	10
parse_subroutine_call	9	6	6	0	0	2	7	0	6
parse_code_element	9	9	9	0	0	0	9	0	0
parse_nonzero_digit	9	9	9	0	0	0	9	0	0
cascade_build_callout_number_core	12	12	12	0	0	0	0	0	0
parse_lookaround	7	7	7	0	0	7	7	0	0
parse_returned_capture_subroutine	9	7	7	0	0	0	5	0	6
parse_directive_limit_named	8	6	6	0	0	4	6	0	3
