suite	relpath	observed	expected	adjudication	basis
Cores-VeeR-EL2	design/dbg/el2_dbg.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dec/el2_dec.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dec/el2_dec_decode_ctl.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dec/el2_dec_gpr_ctl.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dec/el2_dec_ib_ctl.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dec/el2_dec_pmp_ctl.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dec/el2_dec_tlu_ctl.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dec/el2_dec_trigger.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dmi/dmi_jtag_to_core_sync.v	pass	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dmi/dmi_mux.v	pass	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dmi/dmi_wrapper.v	pass	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/dmi/rvjtag_tap.v	pass	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/el2_dma_ctrl.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/el2_mem.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/el2_pic_ctrl.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/el2_pmp.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
Cores-VeeR-EL2	design/el2_veer.sv	fail	chained_only	deferred:chained_only	design corpus parsed in isolation - honest adjudication needs include/define chaining (leaf .4)
