suite	relpath	observed	expected	adjudication	basis
ispras-sv-tests	ieee-1364-2005/parts/count.v	pass	chained_only	deferred:chained_only	ispras-1364: no '// ! TYPE:' key (multi-file companion under parts/) - not a standalone keyed unit
ispras-sv-tests	ieee-1364-2005/test_03_05_01_1.v	fail	out_of_scope_with_cause:impl_varying_v2005	deferred:impl_varying_v2005	ispras-1364: TYPE VARYING - implementation-dependent verdict by suite contract
ispras-sv-tests	ieee-1364-2005/test_03_05_01_2.v	fail	must_accept	divergence:unexplained_rejects_valid	ispras-1364 POSITIVE pinned .8c.2 (KNOWN_TEXT_BUGS re-adjudicated, no errata flip): 3.5.1/5.1 spaced + signed based literals - 3.5.1 verbatim: the size, base and value are separate tokens (A.8.7), white space is allowed between size and base, and the unsigned number token 'shall immediately follow the base format, optionally preceded by white space'; the s designator and unary minus on based primaries are ordinary A.8.3/A.8.6 syntax; KNOWN_TEXT_BUGS covers only Example 3 (16'sd?) - none of these texts
ispras-sv-tests	ieee-1364-2005/test_03_05_01_3.v	fail	out_of_scope_with_cause:impl_varying_v2005	deferred:impl_varying_v2005	ispras-1364: TYPE VARYING - implementation-dependent verdict by suite contract
ispras-sv-tests	ieee-1364-2005/test_03_05_01_4.v	fail	must_accept	divergence:unexplained_rejects_valid	ispras-1364 POSITIVE pinned .8c.2 (KNOWN_TEXT_BUGS re-adjudicated, no errata flip): 3.5.1/5.1 spaced + signed based literals - 3.5.1 verbatim: the size, base and value are separate tokens (A.8.7), white space is allowed between size and base, and the unsigned number token 'shall immediately follow the base format, optionally preceded by white space'; the s designator and unary minus on based primaries are ordinary A.8.3/A.8.6 syntax; KNOWN_TEXT_BUGS covers only Example 3 (16'sd?) - none of these texts
ispras-sv-tests	ieee-1364-2005/test_03_05_01_5.v	fail	must_accept	divergence:unexplained_rejects_valid	ispras-1364 POSITIVE pinned .8c.2 (KNOWN_TEXT_BUGS re-adjudicated, no errata flip): 3.5.1/5.1 spaced + signed based literals - 3.5.1 verbatim: the size, base and value are separate tokens (A.8.7), white space is allowed between size and base, and the unsigned number token 'shall immediately follow the base format, optionally preceded by white space'; the s designator and unary minus on based primaries are ordinary A.8.3/A.8.6 syntax; KNOWN_TEXT_BUGS covers only Example 3 (16'sd?) - none of these texts
ispras-sv-tests	ieee-1364-2005/test_03_05_02_1.v	fail	out_of_scope_with_cause:impl_varying_v2005	deferred:impl_varying_v2005	ispras-1364: TYPE VARYING - implementation-dependent verdict by suite contract
ispras-sv-tests	ieee-1364-2005/test_03_06_01_1.v	pass	must_accept	match	ispras-1364: '// ! TYPE: POSITIVE' clause-keyed valid example (a failing residue re-adjudicates against the suite's KNOWN_TEXT_BUGS errata in leaf .8c.2 - committed-text-over-intent)
ispras-sv-tests	ieee-1364-2005/test_03_06_02_1.v	pass	must_accept	match	ispras-1364: '// ! TYPE: POSITIVE' clause-keyed valid example (a failing residue re-adjudicates against the suite's KNOWN_TEXT_BUGS errata in leaf .8c.2 - committed-text-over-intent)
ispras-sv-tests	ieee-1364-2005/test_03_06_03_1.v	pass	must_accept	match	ispras-1364: '// ! TYPE: POSITIVE' clause-keyed valid example (a failing residue re-adjudicates against the suite's KNOWN_TEXT_BUGS errata in leaf .8c.2 - committed-text-over-intent)
ispras-sv-tests	ieee-1364-2005/test_03_07_00_1.v	pass	must_accept	match	ispras-1364: '// ! TYPE: POSITIVE' clause-keyed valid example (a failing residue re-adjudicates against the suite's KNOWN_TEXT_BUGS errata in leaf .8c.2 - committed-text-over-intent)
