edition	chapter	clause	cases	positive	negative	observed_pass	observed_fail	suites
1364-2005	3	3.5.1	5	3	0	3	2	ispras-sv-tests
1364-2005	3	3.5.2	1	0	0	0	1	ispras-sv-tests
1364-2005	3	3.6.1	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.6.2	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.6.3	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.7.0	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.7.1	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.7.3	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.7.4	1	1	0	0	1	ispras-sv-tests
1364-2005	3	3.8.1	8	8	0	8	0	ispras-sv-tests
1364-2005	4	4.3.1	1	1	0	1	0	ispras-sv-tests
1364-2005	4	4.3.2	1	1	0	0	1	ispras-sv-tests
1364-2005	4	4.4.1	1	1	0	1	0	ispras-sv-tests
1364-2005	4	4.5.0	3	3	0	3	0	ispras-sv-tests
1364-2005	4	4.8.0	1	1	0	1	0	ispras-sv-tests
1364-2005	4	4.9.0	1	1	0	1	0	ispras-sv-tests
1364-2005	4	4.9.3.1	3	3	0	2	1	ispras-sv-tests
1364-2005	4	4.10.1	1	1	0	1	0	ispras-sv-tests
1364-2005	4	4.10.3	2	1	0	1	1	ispras-sv-tests
1364-2005	5	5.1.3	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.1.4	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.1.5	2	2	0	2	0	ispras-sv-tests
1364-2005	5	5.1.6	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.1.7	2	2	0	2	0	ispras-sv-tests
1364-2005	5	5.1.8	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.1.9	3	3	0	3	0	ispras-sv-tests
1364-2005	5	5.1.12	2	2	0	2	0	ispras-sv-tests
1364-2005	5	5.1.13	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.1.14	4	2	0	2	2	ispras-sv-tests
1364-2005	5	5.2.1	4	3	0	3	1	ispras-sv-tests
1364-2005	5	5.2.2	2	2	0	1	1	ispras-sv-tests
1364-2005	5	5.2.3	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.2.3.2	1	0	0	1	0	ispras-sv-tests
1364-2005	5	5.3.0	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.4.0	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.4.2	2	1	0	1	1	ispras-sv-tests
1364-2005	5	5.4.3	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.5.0	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.5.1	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.6.0	3	3	0	3	0	ispras-sv-tests
1364-2005	6	6.1.1	1	1	0	1	0	ispras-sv-tests
1364-2005	6	6.1.2	3	3	0	3	0	ispras-sv-tests
1364-2005	6	6.1.3	1	1	0	1	0	ispras-sv-tests
1364-2005	6	6.2.1	5	4	0	4	1	ispras-sv-tests
1364-2005	7	7.1.2	1	1	0	1	0	ispras-sv-tests
1364-2005	7	7.1.5	1	0	0	0	1	ispras-sv-tests
1364-2005	7	7.1.6	4	4	0	4	0	ispras-sv-tests
