rule	status	fired_file_count	satisfiable_under
action_block	covered	146	sv_2017,sv_2023,verilog_2005
always_construct	covered	1728	sv_2017,sv_2023,verilog_2005
always_keyword	covered	1728	sv_2017,sv_2023,verilog_2005
always_keyword_sv_only	covered	476	sv_2017,sv_2023
and_assign	covered	5	sv_2017,sv_2023,verilog_2005
anonymous_program	covered	1	sv_2017,sv_2023,verilog_2005
anonymous_program_item	covered	1	sv_2017,sv_2023
anonymous_program_item_sv_2017	covered	1	sv_2017
anonymous_program_item_sv_2023	na_profile	0	sv_2023
ansi_port_declaration	covered	1981	sv_2017,sv_2023,verilog_2005
ansi_port_header	covered	1978	sv_2017,sv_2023,verilog_2005
arithmetic_shift_left	covered	14	sv_2017,sv_2023,verilog_2005
arithmetic_shift_left_assign	covered	5	sv_2017,sv_2023,verilog_2005
arithmetic_shift_right	covered	41	sv_2017,sv_2023,verilog_2005
arithmetic_shift_right_assign	covered	5	sv_2017,sv_2023,verilog_2005
array_manipulation_call	covered	1455	sv_2017,sv_2023,verilog_2005
array_method_name	covered	1455	sv_2017,sv_2023,verilog_2005
array_pattern_key	covered	186	sv_2017,sv_2023,verilog_2005
array_range_expression	covered	1	sv_2017,sv_2023,verilog_2005
assert_property_statement	covered	74	sv_2017,sv_2023
assertion_item	covered	86	sv_2017,sv_2023
assertion_item_declaration	covered	78	sv_2017,sv_2023
assertion_variable_declaration	covered	11	sv_2017,sv_2023,verilog_2005
assign	covered	6995	sv_2017,sv_2023,verilog_2005
assignment_operator	covered	3044	sv_2017,sv_2023,verilog_2005
assignment_pattern	covered	335	sv_2017,sv_2023,verilog_2005
assignment_pattern_entry	GAP	0	sv_2017,sv_2023
assignment_pattern_expression	covered	335	sv_2017,sv_2023,verilog_2005
assignment_pattern_expression_type	covered	13	sv_2017,sv_2023,verilog_2005
assignment_pattern_key	covered	175	sv_2017,sv_2023,verilog_2005
assignment_pattern_net_lvalue	GAP	0	sv_2017,sv_2023,verilog_2005
assignment_pattern_variable_lvalue	covered	1	sv_2017,sv_2023,verilog_2005
associative_dimension	covered	81	sv_2017,sv_2023
assume_property_statement	covered	3	sv_2017,sv_2023
at_sign	covered	1711	sv_2017,sv_2023,verilog_2005
attr_close	covered	130	sv_2017,sv_2023,verilog_2005
attr_name	covered	130	sv_2017,sv_2023,verilog_2005
attr_open	covered	162	sv_2017,sv_2023,verilog_2005
attr_spec	covered	130	sv_2017,sv_2023,verilog_2005
attribute_instance	covered	130	sv_2017,sv_2023,verilog_2005
bang	covered	429	sv_2017,sv_2023,verilog_2005
base_class_type	covered	213	sv_2017,sv_2023,verilog_2005
base_class_type_head	covered	213	sv_2017,sv_2023,verilog_2005
bin_identifier	covered	21	sv_2017,sv_2023,verilog_2005
binary_module_path_operator	covered	10	sv_2017,sv_2023,verilog_2005
binary_operator	covered	4771	sv_2017,sv_2023,verilog_2005
binary_operator_above_equality	GAP	0	sv_2017,sv_2023,verilog_2005
bind_directive	covered	124	sv_2017,sv_2023
bind_instantiation	covered	124	sv_2017,sv_2023,verilog_2005
bind_target_instance	covered	124	sv_2017,sv_2023,verilog_2005
bind_target_instance_list	covered	1	sv_2017,sv_2023,verilog_2005
bind_target_scope	covered	123	sv_2017,sv_2023,verilog_2005
bins_expression	GAP	0	sv_2017,sv_2023,verilog_2005
bins_keyword	covered	21	sv_2017,sv_2023,verilog_2005
bins_or_empty	covered	43	sv_2017,sv_2023,verilog_2005
bins_or_options	covered	26	sv_2017,sv_2023,verilog_2005
bins_selection	GAP	0	sv_2017,sv_2023,verilog_2005
bins_selection_or_option	GAP	0	sv_2017,sv_2023,verilog_2005
bit_select	covered	7294	sv_2017,sv_2023,verilog_2005
bit_select_expression	covered	1525	sv_2017,sv_2023,verilog_2005
bitwise_and	covered	775	sv_2017,sv_2023,verilog_2005
bitwise_or	covered	538	sv_2017,sv_2023,verilog_2005
bitwise_xor	covered	230	sv_2017,sv_2023,verilog_2005
block_comment	covered	1879	sv_2017,sv_2023,verilog_2005
block_data_declaration	covered	3550	sv_2017,sv_2023,verilog_2005
block_data_declaration_sv_2017	covered	3550	sv_2017,verilog_2005
block_data_declaration_sv_2023	na_profile	0	sv_2023
block_data_type	covered	986	sv_2017,sv_2023,verilog_2005
block_data_type_or_implicit	covered	3547	sv_2017,sv_2023,verilog_2005
block_event_expression	GAP	0	sv_2017,sv_2023,verilog_2005
block_identifier	covered	387	sv_2017,sv_2023,verilog_2005
block_item_declaration	covered	3557	sv_2017,sv_2023,verilog_2005
blocking_assignment	covered	2798	sv_2017,sv_2023,verilog_2005
blocking_assignment_sv_2017	covered	2798	sv_2017,verilog_2005
blocking_assignment_sv_2023	na_profile	0	sv_2023
boolean_abbrev	covered	15	sv_2017,sv_2023
boolean_abbrev_sv_2017	covered	15	sv_2017
boolean_abbrev_sv_2023	na_profile	0	sv_2023
built_in_method_call	covered	1455	sv_2017,sv_2023,verilog_2005
c_identifier	covered	5	sv_2017,sv_2023,verilog_2005
call_primary	covered	2940	sv_2017,sv_2023,verilog_2005
call_with_postfix_chain	covered	9	sv_2017,sv_2023,verilog_2005
callable_identifier	covered	2116	sv_2017,sv_2023,verilog_2005
callable_method_call_body	covered	1450	sv_2017,sv_2023,verilog_2005
case_equal	covered	362	sv_2017,sv_2023,verilog_2005
case_expression	covered	302	sv_2017,sv_2023,verilog_2005
case_generate_construct	covered	39	sv_2017,sv_2023,verilog_2005
case_generate_item	covered	39	sv_2017,sv_2023,verilog_2005
case_inside_item	covered	6	sv_2017,sv_2023
case_inside_item_sv_2017	covered	6	sv_2017
case_inside_item_sv_2023	na_profile	0	sv_2023
case_item	covered	287	sv_2017,sv_2023,verilog_2005
case_item_expression	covered	287	sv_2017,sv_2023,verilog_2005
case_keyword	covered	295	sv_2017,sv_2023,verilog_2005
case_not_equal	covered	1270	sv_2017,sv_2023,verilog_2005
case_pattern_item	covered	8	sv_2017,sv_2023
case_statement	covered	299	sv_2017,sv_2023,verilog_2005
cast	covered	241	sv_2017,sv_2023,verilog_2005
casting_type	covered	257	sv_2017,sv_2023,verilog_2005
cell_clause	covered	2	sv_2017,sv_2023,verilog_2005
cell_identifier	covered	11	sv_2017,sv_2023,verilog_2005
chainable_call_initial	covered	9	sv_2017,sv_2023,verilog_2005
charge_strength	covered	12	sv_2017,sv_2023,verilog_2005
checked_nettype_identifier	covered	4	sv_2017,sv_2023,verilog_2005
checked_type_identifier	covered	1442	sv_2017,sv_2023,verilog_2005
checker_declaration	covered	19	sv_2017,sv_2023
checker_generate_item	covered	328	sv_2017,sv_2023
checker_generate_item_sv_2017	covered	328	sv_2017
checker_generate_item_sv_2023	na_profile	0	sv_2023
checker_identifier	covered	19	sv_2017,sv_2023,verilog_2005
checker_instantiation	covered	4	sv_2017,sv_2023,verilog_2005
checker_or_generate_item	covered	479	sv_2017,sv_2023,verilog_2005
checker_or_generate_item_declaration	covered	176	sv_2017,sv_2023,verilog_2005
checker_port_direction	covered	2	sv_2017,sv_2023,verilog_2005
checker_port_item	covered	14	sv_2017,sv_2023,verilog_2005
checker_port_list	covered	14	sv_2017,sv_2023,verilog_2005
class_constraint	covered	122	sv_2017,sv_2023
class_constructor_arg	na_profile	0	sv_2023
class_constructor_arg_list	na_profile	0	sv_2023
class_constructor_arg_list_sv_2023	na_profile	0	sv_2023
class_constructor_arg_sv_2023	na_profile	0	sv_2023
class_constructor_declaration	covered	199	sv_2017,sv_2023
class_constructor_declaration_sv_2017	covered	199	sv_2017
class_constructor_declaration_sv_2023	na_profile	0	sv_2023
class_constructor_prototype	covered	6	sv_2017,sv_2023
class_constructor_prototype_sv_2017	covered	6	sv_2017
class_constructor_prototype_sv_2023	na_profile	0	sv_2023
class_constructor_super_args	GAP	0	sv_2017,sv_2023,verilog_2005
class_declaration	covered	873	sv_2017,sv_2023
class_declaration_sv_2017	covered	873	sv_2017
class_declaration_sv_2023	na_profile	0	sv_2023
class_identifier	covered	1349	sv_2017,sv_2023,verilog_2005
class_item	covered	798	sv_2017,sv_2023
class_item_qualifier	covered	123	sv_2017,sv_2023,verilog_2005
class_item_sv_2017	covered	798	sv_2017
class_item_sv_2023	na_profile	0	sv_2023
class_method	covered	557	sv_2017,sv_2023,verilog_2005
class_new	covered	609	sv_2017,sv_2023,verilog_2005
class_or_package_scope	covered	3	sv_2017,sv_2023,verilog_2005
class_property	covered	565	sv_2017,sv_2023,verilog_2005
class_scope	covered	159	sv_2017,sv_2023
class_scope_type	covered	159	sv_2017,sv_2023,verilog_2005
class_scope_type_head	covered	159	sv_2017,sv_2023,verilog_2005
class_scoped_call_prefix	covered	68	sv_2017,sv_2023
class_scoped_call_prefix_head	covered	68	sv_2017,sv_2023,verilog_2005
class_scoped_tf_call	covered	19	sv_2017,sv_2023
class_scoped_tf_call_with_args	covered	68	sv_2017,sv_2023
class_type	covered	766	sv_2017,sv_2023,verilog_2005
class_type_head	covered	766	sv_2017,sv_2023,verilog_2005
class_variable_identifier	covered	6442	sv_2017,sv_2023,verilog_2005
clocking_decl_assign	covered	74	sv_2017,sv_2023,verilog_2005
clocking_declaration	covered	115	sv_2017,sv_2023
clocking_direction	covered	74	sv_2017,sv_2023,verilog_2005
clocking_drive	covered	905	sv_2017,sv_2023
clocking_event	covered	216	sv_2017,sv_2023
clocking_event_sv_2017	covered	216	sv_2017
clocking_event_sv_2023	na_profile	0	sv_2023
clocking_identifier	covered	95	sv_2017,sv_2023,verilog_2005
clocking_item	covered	78	sv_2017,sv_2023,verilog_2005
clocking_skew	covered	31	sv_2017,sv_2023,verilog_2005
clockvar	covered	905	sv_2017,sv_2023,verilog_2005
clockvar_expression	covered	905	sv_2017,sv_2023,verilog_2005
cmos_switch_instance	covered	7	sv_2017,sv_2023,verilog_2005
cmos_switchtype	covered	7	sv_2017,sv_2023,verilog_2005
colon	covered	5136	sv_2017,sv_2023,verilog_2005
combinational_body	covered	38	sv_2017,sv_2023,verilog_2005
combinational_entry	covered	38	sv_2017,sv_2023,verilog_2005
comma	covered	5813	sv_2017,sv_2023,verilog_2005
compiler_directive	covered	812	sv_2017,sv_2023,verilog_2005
concatenation	covered	759	sv_2017,sv_2023,verilog_2005
concurrent_assertion_item	covered	77	sv_2017,sv_2023
concurrent_assertion_statement	covered	91	sv_2017,sv_2023,verilog_2005
cond_pattern	covered	3	sv_2017,sv_2023
cond_predicate	covered	3487	sv_2017,sv_2023,verilog_2005
conditional_else_branch	covered	1338	sv_2017,sv_2023,verilog_2005
conditional_else_clause	covered	1338	sv_2017,sv_2023,verilog_2005
conditional_expression	covered	383	sv_2017,sv_2023,verilog_2005
conditional_generate_construct	covered	327	sv_2017,sv_2023,verilog_2005
conditional_statement	covered	3346	sv_2017,sv_2023,verilog_2005
config_declaration	covered	11	sv_2017,sv_2023,verilog_2005
config_identifier	covered	11	sv_2017,sv_2023,verilog_2005
config_rule_statement	covered	7	sv_2017,sv_2023,verilog_2005
consecutive_repetition	covered	12	sv_2017,sv_2023,verilog_2005
const_identifier	covered	13	sv_2017,sv_2023,verilog_2005
const_or_range_expression	covered	16	sv_2017,sv_2023,verilog_2005
constant_assignment_pattern_expression	covered	138	sv_2017,sv_2023,verilog_2005
constant_bit_select	covered	4624	sv_2017,sv_2023,verilog_2005
constant_cast	covered	23	sv_2017,sv_2023,verilog_2005
constant_concatenation	covered	88	sv_2017,sv_2023,verilog_2005
constant_expression	covered	5448	sv_2017,sv_2023,verilog_2005
constant_expression_operand	covered	5448	sv_2017,sv_2023,verilog_2005
constant_function_call	covered	338	sv_2017,sv_2023,verilog_2005
constant_indexed_range	covered	30	sv_2017,sv_2023,verilog_2005
constant_let_expression	covered	112	sv_2017,sv_2023,verilog_2005
constant_mintypmax_expression	covered	2071	sv_2017,sv_2023,verilog_2005
constant_multiple_concatenation	covered	37	sv_2017,sv_2023,verilog_2005
constant_param_expression	covered	1920	sv_2017,sv_2023,verilog_2005
constant_part_select_range	covered	163	sv_2017,sv_2023,verilog_2005
constant_primary	covered	5499	sv_2017,sv_2023,verilog_2005
constant_primary_sv_2017	covered	5499	sv_2017,verilog_2005
constant_primary_sv_2023	na_profile	0	sv_2023
constant_range	covered	4314	sv_2017,sv_2023,verilog_2005
constant_range_expression	covered	57	sv_2017,sv_2023,verilog_2005
constant_select	covered	3535	sv_2017,sv_2023,verilog_2005
constant_select_tail	covered	3535	sv_2017,sv_2023,verilog_2005
constraint_block	covered	137	sv_2017,sv_2023
constraint_block_item	covered	136	sv_2017,sv_2023,verilog_2005
constraint_declaration	covered	110	sv_2017,sv_2023
constraint_declaration_sv_2017	covered	110	sv_2017
constraint_declaration_sv_2023	na_profile	0	sv_2023
constraint_expression	covered	135	sv_2017,sv_2023,verilog_2005
constraint_identifier	covered	122	sv_2017,sv_2023,verilog_2005
constraint_primary	covered	8	sv_2017,sv_2023
constraint_primary_sv_2017	covered	8	sv_2017
constraint_primary_sv_2023	na_profile	0	sv_2023
constraint_prototype	covered	17	sv_2017,sv_2023
constraint_prototype_qualifier	covered	13	sv_2017,sv_2023,verilog_2005
constraint_prototype_sv_2017	covered	17	sv_2017
constraint_prototype_sv_2023	na_profile	0	sv_2023
constraint_set	covered	22	sv_2017,sv_2023,verilog_2005
context_member_method_call	covered	71	sv_2017,sv_2023,verilog_2005
continuous_assign	covered	1617	sv_2017,sv_2023,verilog_2005
controlled_reference_event	covered	5	sv_2017,sv_2023,verilog_2005
controlled_timing_check_event	covered	5	sv_2017,sv_2023,verilog_2005
cover_cross	covered	8	sv_2017,sv_2023
cover_point	covered	43	sv_2017,sv_2023,verilog_2005
